Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Energy Efficiency Programs,Urbanization Rate,Industrialization Rate,Energy Market Liberalization,Renewable Energy Patents,Educational Level,Technology Transfer Agreements,Renewable Energy Education Programs,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Natural Disasters,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
Brazil,2009,Biomass,85032.37906493567,18363.019473069377,8518900459.379948,928570600,149672861244151.16,4821.504128200797,14602.69761950549,56851.63505983872,807995.888715783,477117,1,6396371118.034529,1,33.365394532622595,1167.287374018136,260.0364658022028,1.4922133463940717,26.926752167994614,91.06550762532522,55.86281897160338,387.0898989065589,0.2176845399291466,0.2338330227616451,657529657.84022,650868623.2836188,7.842891996232167,0,58.89467127271563,16.91157557996956,0,564,7.286675358868774,0,0,60.85472515388465,44.22775613361112,18.592190137673224,1,1.2123859486179278,3.308793607655846,3.8275704319310497,4.844767924706211,4.197494852341517,58.93605641688977,84.71773485523245,49.22578715934508,724,6,416,897784,67.32244619185025,1,0
France,2020,Wind,6334.259527179962,48185.74776841706,2536793574.9834394,357579506,133235734129639.4,420985.1857689552,28110.97736050482,52713.5641317773,148056.00190665034,665272,0,8509403594.221245,0,16.4766815335925,809.713073434324,288.52285536768954,8.591057810493318,85.16988951552203,74.42730604802492,16.273770378510722,351.16580036601107,0.9242693497913284,0.3303573102336366,762571273.5815592,378001021.8093853,3.405118268195537,0,4.531912238177838,55.190698811869375,1,332,8.442717992281102,1,1,48.30655299903005,98.77211285281594,43.03432462585863,1,5.950529974228052,2.9663604662844345,6.747709434472531,3.84698700513054,0.9479742760257924,67.13937679929494,40.49511029164235,69.76668193250264,970,95,5137,749281,15.744480382784952,0,0
France,2023,Biomass,45119.20819327754,13800.762270308456,9243946332.538874,318356967,100580995321628.44,607122.9652066635,76045.95343142108,42242.65489604079,97459.74398932942,232304,1,131986234.16338776,1,-5.591487029769484,2373.794755821012,180.78669150079665,6.091462535125138,14.91688861873859,84.90517726688114,2.018022152501431,5.590273164898035,0.0749253707820266,0.2505799097820507,857651291.3459461,995840638.4654362,3.0659157739620446,1,80.31516883879758,54.49664221021288,0,517,1.7672765060332274,0,0,6.046096209356433,56.22996040314808,47.04887032613125,1,5.2713714084969325,7.840854129080021,6.018948764149453,3.211958323473344,9.011410313523491,0.7099963544717869,73.28647012881115,82.58943435937063,901,85,5577,35162,58.67590877788863,0,0
Brazil,2006,Solar,78745.13930274059,18900.19736699652,1111976749.2613504,105980391,18565369769754.832,623308.3967282946,50620.86425074575,21826.84072849393,740088.4426981637,950409,1,1555377374.475195,1,20.27098599833009,1723.8571250978684,266.9247248089514,10.17728084692896,25.600431208647645,99.1378619102641,53.43744953281334,500.0086110265895,0.4071211151239863,0.101584232363577,188987780.5838737,185736932.2929164,5.606244926173368,0,52.353714602151534,53.29013649924156,0,730,9.537112452117448,0,1,93.42685803514183,89.7546207507893,70.51408552013321,0,5.280877182844984,9.451584568115663,6.591553228766388,8.279252630435035,6.367400845969575,17.586248875114563,69.70412514807278,78.94008001197093,634,75,4974,372126,3.511162678132118,0,1
Australia,2020,Wind,35205.86966616819,29966.392560524266,1568387415.2211604,176909122,81545677915075.3,932155.4464994108,73094.31220365093,62123.07039554766,568814.4072759434,328788,1,2175093184.319737,0,12.358127779434115,433.65016082301446,167.37172009443807,4.843017482900419,77.25566982735988,65.6677106047628,14.552598660132588,239.3058946348584,0.5301310373534184,0.3345302867926989,892014205.9515727,738596684.6932354,6.536213170696107,1,8.84370591039849,51.61971218073327,0,635,7.716801721128995,0,1,76.5955603554646,38.04803757982197,82.53108382660983,1,4.301072080829052,5.720576603340848,9.42976576115916,6.564977474820097,2.654906686240752,34.76887032437412,77.93004480025915,98.09342402161204,593,10,3506,325331,38.89962922605851,1,0
China,2017,Hydro,31567.63234288381,15398.504217980166,4251317148.834233,1105245527,54112215692266.29,327071.62425939244,49368.27168636868,75048.92058132401,420056.8723896049,282611,1,8585885276.236615,0,3.168244855020495,2680.0508104883534,166.84946300868452,12.912201391294266,73.0808275802889,9.588650838871448,53.71992512736071,140.1008729589229,0.1836249349517962,0.2429274962002772,809705237.6434999,808542984.9099432,9.340957305223023,0,81.04489975008575,94.33360263073877,1,520,0.3403247514994501,1,1,80.12770964839214,35.943877182590846,82.98752693407756,1,8.93650146907831,6.270176400458879,2.843012138269978,9.603553725840788,6.027850972537612,22.787701040087715,79.31165958379528,54.73995749392423,937,2,3080,735142,53.29928204405838,0,1
China,2018,Hydro,7990.222427099341,17367.383612852045,3627612826.133234,1484523467,72391176522089.75,898542.1401181079,39228.3449420251,74698.79384158304,383372.6078043179,42471,0,2665481576.847074,1,16.001354885900486,2427.8392363509765,268.00219207327063,3.1306674478911662,7.925106643503488,88.77013033475242,11.61554589461984,384.91889983384834,0.3466026166964888,0.4654815803299543,382663669.3109215,364854005.0515541,0.3296681678929469,1,40.17547651293548,32.47371271802281,0,347,0.78371307089936,0,1,3.2603389088696866,12.591436290114489,45.02020637491505,1,4.660017068182957,2.293471795256515,9.995425774851148,9.609173790514692,6.539082439172996,27.15120024313413,43.39149785204797,8.335061895479523,833,2,451,222455,20.02464112275888,0,1
Canada,2014,Hydro,2931.8440482875394,2463.8196807818053,7603915838.824388,873087314,90595423683913.44,314071.9505368008,47493.87799124976,5553.559229103099,96908.36887525058,32742,1,2838330027.7934604,0,21.31764663318225,1866.7647018774253,270.024911017909,13.862557423949877,75.66908245401858,61.46518281490525,57.72468859959356,722.7555318185748,0.9000554858864828,0.2956706690957238,111767713.5334914,687395739.211402,4.169523861383927,0,42.980972389433646,78.9372258595443,0,823,5.971366820097193,0,1,89.92037894728028,27.557831924685583,3.940957678169055,0,0.0739559053386917,9.890415218375528,2.9839563445086403,3.735425100314883,8.44627166210506,59.34512167233028,92.5267175011026,98.296924738569,692,73,3801,456370,32.501462696435354,0,1
Russia,2006,Hydro,45709.73714762319,19229.551885459503,4952083799.772418,570482781,30871780941649.246,98501.59223995169,2285.881452232425,55590.77813617474,315137.8690458519,614165,1,3485968876.1661687,1,6.516672567987605,500.6087334442293,118.92048230915728,8.835212220648108,51.35391867123833,30.94530593092186,95.14251881506075,770.0906281114675,0.521510012688581,0.390457661158209,338877311.93873644,802777935.1977443,3.202500506874808,0,16.863182277587065,13.113922558974869,1,570,0.8437875635802239,1,0,92.41575617428585,11.21911042498316,7.33091906780804,1,9.148275450701751,8.982761104310589,9.760030805552498,6.427481765736394,2.05213755044578,39.38900899551652,51.02495063712645,76.23499288685089,500,52,3305,142794,68.89834224780427,0,1
Japan,2014,Solar,71365.15351956432,13164.78906198491,8992018603.3996,121019379,76649599315550.75,69943.01559870718,69292.403596137,72111.44405094872,280257.81143963354,885430,1,2662472959.7389183,0,8.781358108323325,2083.3916741848807,289.1603623386063,11.597444587972385,47.87737048777807,12.066435682390242,82.89344248790431,285.5046272488828,0.5156377518964707,0.118966910505426,205061173.65047172,264854693.69611996,7.981139671175924,0,49.290847873922594,54.823025772832,1,711,4.766839705475585,1,0,40.35035007292601,11.78182067575394,58.14156509068747,1,4.749806623294256,1.6787463335240127,9.449102539848369,9.149319218603663,2.850690169705436,48.42341625595103,95.14426276348472,70.5225124281516,55,77,635,251645,38.91154313888892,0,0
